"SKU","Product","Price Incl.","Price Excl.","Stock"
"MDHE4ZE/A","13-inch MacBook Air M5 Chip | 10-core CPU 8-core GPU | 16GB | 512GB - Midnight","R 23,186.30","R 20,162.00","21"
"MDH74ZE/A","13-inch MacBook Air M5 Chip | 10-core CPU 8-core GPU | 16GB | 512GB - Silver","R 23,186.30","R 20,162.00","0"
"MDHH4ZE/A","13-inch MacBook Air M5 Chip | 10-core CPU 8-core GPU | 16GB | 512GB - Sky Blue","R 23,186.30","R 20,162.00","11"
"MDHA4ZE/A","13-inch MacBook Air M5 Chip | 10-core CPU 8-core GPU | 16GB | 512GB - Starlight","R 23,186.30","R 20,162.00","0"
"MDVH4ZE/A","15-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 16GB | 512GB - Midnight","R 26,773.15","R 23,281.00","1"
"MDVQ4ZE/A","15-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 16GB | 512GB - Sky Blue","R 26,773.15","R 23,281.00","7"
"MDV94ZE/A","15-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 16GB | 512GB - Silver","R 26,773.15","R 23,281.00","1"
"MDVD4ZE/A","15-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 16GB | 512GB - Starlight","R 26,773.15","R 23,281.00","0"
"MDHF4ZE/A","13-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 16GB | 1TB - Midnight","R 28,523.45","R 24,803.00","6"
"MDH84ZE/A","13-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 16GB | 1TB - Silver","R 28,523.45","R 24,803.00","3"
"MDHJ4ZE/A","13-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 16GB | 1TB - Sky Blue","R 28,523.45","R 24,803.00","16"
"MDHC4ZE/A","13-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 16GB | 1TB - Starlight","R 28,523.45","R 24,803.00","4"
"MDHG4ZE/A","13-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 24GB | 1TB - Midnight","R 32,198.85","R 27,999.00","0"
"MDH94ZE/A","13-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 24GB | 1TB - Silver","R 32,198.85","R 27,999.00","0"
"MDHK4ZE/A","13-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 24GB | 1TB - Sky Blue","R 32,198.85","R 27,999.00","0"
"MDHD4ZE/A","13-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 24GB | 1TB - Starlight","R 32,198.85","R 27,999.00","0"
"MDVK4ZE/A","15-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 16GB | 1TB - Midnight","R 32,198.85","R 27,999.00","9"
"MDVA4ZE/A","15-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 16GB | 1TB - Silver","R 32,198.85","R 27,999.00","10"
"MDVT4ZE/A","15-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 16GB | 1TB - Sky Blue","R 32,198.85","R 27,999.00","10"
"MDVE4ZE/A","15-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 16GB | 1TB - Starlight","R 32,198.85","R 27,999.00","9"
"MDVN4ZE/A","15-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 24GB | 1TB - Midnight","R 35,698.30","R 31,042.00","0"
"MDVC4ZE/A","15-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 24GB | 1TB - Silver","R 35,698.30","R 31,042.00","0"
"MDVU4ZE/A","15-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 24GB | 1TB - Sky Blue","R 35,698.30","R 31,042.00","0"
"MDVF4ZE/A","15-inch MacBook Air M5 Chip | 10-core CPU 10-core GPU | 24GB | 1TB - Starlight","R 35,698.30","R 31,042.00","1"
